Data for World of Warcraft Vanilla 1.12.1

[original craft spell id, eternal craft spell id, name, eternal item id]

Alchemy:
[2329, 40025, "Eternal Elixir of Lion's Strength", 26112]
[2330, 40023, "Eternal Minor Healing Potion", 26110]
[2331, 40027, "Eternal Minor Mana Potion", 26114]
[2332, 40028, "Eternal Minor Rejuvenation Potion", 26115]
[2333, 40047, "Eternal Elixir of Lesser Agility", 26134]
[2334, 40029, "Eternal Elixir of Minor Fortitude", 26116]
[2335, 40033, "Eternal Swiftness Potion", 26120]
[2337, 40032, "Eternal Lesser Healing Potion", 26119]
[3170, 40026, "Eternal Weak Troll's Blood Potion", 26113]
[3171, 40035, "Eternal Elixir of Wisdom", 26122]
[3172, 40040, "Eternal Minor Magic Resistance Potion", 26127]
[3173, 40042, "Eternal Lesser Mana Potion", 26129]
[3174, 40043, "Eternal Elixir of Poison Resistance", 26130]
[3175, 40088, "Eternal Limited Invulnerability Potion", 26175]
[3176, 40044, "Eternal Strong Troll's Blood Potion", 26131]
[3177, 40045, "Eternal Elixir of Defense", 26132]
[3188, 40049, "Eternal Elixir of Ogre's Strength", 26136]
[3230, 40030, "Eternal Elixir of Minor Agility", 26117]
[3447, 40041, "Eternal Healing Potion", 26128]
[3448, 40053, "Eternal Lesser Invisibility Potion", 26140]
[3449, 40054, "Eternal Shadow Oil", 26141]
[3450, 40056, "Eternal Elixir of Fortitude", 26143]
[3451, 40058, "Eternal Mighty Troll's Blood Potion", 26145]
[3452, 40052, "Eternal Mana Potion", 26139]
[3453, 40063, "Eternal Elixir of Detect Lesser Invisibility", 26150]
[3454, 40065, "Eternal Frost Oil", 26152]
[4508, 40031, "Eternal Discolored Healing Potion", 26118]
[4942, 40071, "Eternal Lesser Stoneshield Potion", 26157]
[6617, 40034, "Eternal Rage Potion", 26121]
[6618, 40057, "Eternal Great Rage Potion", 26144]
[6624, 40050, "Eternal Free Action Potion", 26137]
[7179, 40036, "Eternal Elixir of Water Breathing", 26123]
[7181, 40051, "Eternal Greater Healing Potion", 26138]
[7183, 40024, "Eternal Elixir of Minor Defense", 26111]
[7255, 40038, "Eternal Holy Protection Potion", 26125]
[7256, 40046, "Eternal Shadow Protection Potion", 26133]
[7257, 40055, "Eternal Fire Protection Potion", 26142]
[7258, 40060, "Eternal Frost Protection Potion", 26147]
[7259, 40061, "Eternal Nature Protection Potion", 26148]
[7841, 40039, "Eternal Swim Speed Potion", 26126]
[7845, 40048, "Eternal Elixir of Firepower", 26135]
[8240, 40037, "Eternal Elixir of Giant Growth", 26124]
[11448, 40067, "Eternal Greater Mana Potion", 26154]
[11449, 40059, "Eternal Elixir of Agility", 26146]
[11450, 40064, "Eternal Elixir of Greater Defense", 26151]
[11451, 40068, "Eternal Oil of Immolation", 26155]
[11452, 40070, "Eternal Restorative Potion", 26156]
[11453, 40069, "Eternal Magic Resistance Potion", 26156]
[11457, 40072, "Eternal Superior Healing Potion", 26159]
[11458, 40074, "Eternal Wildvine Potion", 26161]
[11460, 40075, "Eternal Elixir of Detect Undead", 26162]
[11461, 40077, "Eternal Arcane Elixir", 26164]
[11464, 40078, "Eternal Invisibility Potion", 26165]
[11465, 40079, "Eternal Elixir of Greater Intellect", 26166]
[11466, 40080, "Eternal Gift of Arthas", 26167]
[11467, 40081, "Eternal Elixir of Greater Agility", 26168]
[11468, 40082, "Eternal Elixir of Dream Vision", 26169]
[11472, 40083, "Eternal Elixir of Giants", 26170]
[11476, 40084, "Eternal Elixir of Shadow Power", 26171]
[11477, 40085, "Eternal Elixir of Demonslaying", 26172]
[11478, 40086, "Eternal Elixir of Detect Demon", 26173]
[12609, 40066, "Eternal Catseye Elixir", 26153]
[15833, 40076, "Eternal Dreamless Sleep Potion", 26163]
[17580, 40108, "Eternal Major Mana Potion", 26195]
[17634, 40110, "Eternal Flask of Petrification", 26197]
[17635, 40111, "Eternal Flask of the Titans", 26198]
[17636, 40112, "Eternal Flask of Distilled Wisdom", 26199]
[17637, 40113, "Eternal Flask of Supreme Power", 26200]
[17638, 40114, "Eternal Flask of Chromatic Resistance", 26201]
[21923, 40062, "Eternal Elixir of Frost Power", 26149]
[22109, 40073, "Eternal Elixir of Greater Water Breathing", 26160]
[22732, 40109, "Eternal Major Rejuvenation Potion", 26196]
[24365, 40095, "Eternal Mageblood Potion", 26182]
[24366, 40096, "Eternal Greater Dreamless Sleep Potion", 26183]
[24367, 40101, "Eternal Living Action Potion", 26188]
[24368, 40107, "Eternal Major Troll's Blood Potion", 26194]
[26277, 40087, "Eternal Elixir of Greater Firepower", 26174]

Cooking:
[2539, 40294, "Eternal Spiced Wolf Meat", 26301]
[2541, 40299, "Eternal Coyote Steak", 26306]
[2542, 40301, "Eternal Goretusk Liver Pie", 26308]
[2544, 40305, "Eternal Crab Cake", 26312]
[2546, 40307, "Eternal Dry Pork Ribs", 26314]
[2547, 40311, "Eternal Redridge Goulash", 26318]
[2549, 40313, "Eternal Seasoned Wolf Kabob", 26320]
